1690, 0.00908
1350, 0.00922
26, 0.00972
131, 0.0101
1178, 0.01062
2040, 0.01064
44, 0.01098
1773, 0.01098
1414, 0.011
916, 0.01104
30, 0.01108
1977, 0.01108
1931, 0.01128
1456, 0.01134
1033, 0.01138
1697, 0.01142
939, 0.01144
1562, 0.01156
182, 0.01174
932, 0.01178
329, 0.01182
477, 0.01188
699, 0.0119
215, 0.01192
874, 0.012
210, 0.0121
1840, 0.01216
2010, 0.0122
1960, 0.01222
298, 0.01226
39, 0.01232
1386, 0.01232
645, 0.01238
1264, 0.01238
1573, 0.01242
416, 0.01244
426, 0.01274
841, 0.0128
61, 0.0129
757, 0.01292
767, 0.01298
1379, 0.01312
1430, 0.01316
11, 0.01322
195, 0.01334
1932, 0.01334
682, 0.01336
1661, 0.01338
43, 0.01342
184, 0.01346
813, 0.01348
1921, 0.01366
125, 0.01374
1318, 0.01376
268, 0.01388
1126, 0.01392
740, 0.01396
1332, 0.01406
499, 0.0141
0, 0.01412
1259, 0.01418
1705, 0.01434
143, 0.01436
1078, 0.0145
973, 0.01452
166, 0.01464
1649, 0.0147
1410, 0.01482
1215, 0.01488
1547, 0.01488
3, 0.0149
1610, 0.01492
1736, 0.01496
1262, 0.01506
1109, 0.01508
1555, 0.01508
106, 0.01514
1656, 0.01516
853, 0.01518
886, 0.0152
1832, 0.0152
203, 0.01528
979, 0.01538
261, 0.0154
1768, 0.0154
928, 0.01552
1310, 0.01552
1368, 0.01568
1817, 0.01568
1182, 0.01582
1265, 0.01584
351, 0.01586
1421, 0.0159
1718, 0.01592
959, 0.016
1750, 0.01616
301, 0.0162
1480, 0.0162
356, 0.01626
439, 0.01626
1384, 0.01634
162, 0.01636
276, 0.01638
1557, 0.01638
1576, 0.01638
78, 0.01648
110, 0.0165
1885, 0.01654
754, 0.01656
1199, 0.01658
1662, 0.01662
473, 0.01664
1196, 0.01664
2042, 0.01664
1416, 0.01666
8, 0.0167
1233, 0.0167
332, 0.01676
760, 0.01676
956, 0.01676
737, 0.01684
914, 0.01684
76, 0.01688
1776, 0.01688
1807, 0.01694
941, 0.01698
348, 0.017
460, 0.01702
1422, 0.01704
1449, 0.01704
140, 0.01712
648, 0.01714
797, 0.01714
345, 0.01716
89, 0.0172
1944, 0.01722
488, 0.01724
323, 0.01728
1991, 0.01744
905, 0.01748
1282, 0.01756
2030, 0.01758
161, 0.01766
440, 0.01768
1155, 0.01768
1778, 0.01768
1092, 0.0177
729, 0.01772
1726, 0.01772
591, 0.01776
688, 0.01776
1218, 0.01778
1469, 0.01778
1616, 0.0178
1755, 0.01782
1231, 0.0179
1299, 0.01794
384, 0.01796
